file_nm,security,time,open,high,low,last,settled,change,vol,prev_settled,prev_vol,pre_int
market/Settlements/1_2_2017_ags_settlements.txt,IHF Minneapolis Hard Red Winter Wheat Index Futures,FEB17,,,,,363.0,+9.0,,354.0,,
market/Settlements/1_2_2017_ags_settlements.txt,IHF Minneapolis Hard Red Winter Wheat Index Futures,MAR17,,,,,368.0,0,,,,
market/Settlements/1_2_2017_ags_settlements.txt,IOI IOI CORPORATION SSF,FEB17,,,,,,0,,4.48,,
market/Settlements/1_2_2017_ags_settlements.txt,IOI IOI CORPORATION SSF,MAR17,,,,,,0,,4.48,,
market/Settlements/1_2_2017_ags_settlements.txt,IOI IOI CORPORATION SSF,JUN17,,,,,,0,,4.48,,
market/Settlements/1_2_2017_ags_settlements.txt,IPF Minneapolis Hard Red Spring Wheat Index Futures,FEB17,,,,,531.0,+5.0,,526.0,,
market/Settlements/1_2_2017_ags_settlements.txt,IPF Minneapolis Hard Red Spring Wheat Index Futures,MAR17,,,,,536.0,0,,,,
market/Settlements/1_2_2017_ags_settlements.txt,ISF Minneapolis National Soybean Index Futures,FEB17,,,,,975.0,+8.0,,967.0,,
market/Settlements/1_2_2017_ags_settlements.txt,ISF Minneapolis National Soybean Index Futures,MAR17,,,,,980.0,0,,,,
market/Settlements/1_2_2017_ags_settlements.txt,IWF Minneapolis Soft Red Winter Wheat Index Futures,FEB17,,,,,411.0,+15.0,,396.0,,
market/Settlements/1_2_2017_ags_settlements.txt,IWF Minneapolis Soft Red Winter Wheat Index Futures,MAR17,,,,,416.0,0,,,,
market/Settlements/1_2_2017_ags_settlements.txt,K6S KC HRW Calendar Spread Options - Dec/July Syntheti,DEC17,,,,,-21.4,-2.0,,-23.4,,
market/Settlements/1_2_2017_ags_settlements.txt,KB3 3MTH KUALA IB RATE,FEB17,,,,,,0,,96.55,,
market/Settlements/1_2_2017_ags_settlements.txt,KB3 3MTH KUALA IB RATE,MAR17,,,,,,0,,96.55,,
market/Settlements/1_2_2017_ags_settlements.txt,KB3 3MTH KUALA IB RATE,APR17,,,,,,0,,96.53,,
market/Settlements/1_2_2017_ags_settlements.txt,KB3 3MTH KUALA IB RATE,JUN17,,,,,,0,,96.50,,
market/Settlements/1_2_2017_ags_settlements.txt,KC7 KC HRW Calendar Spread Options - Consecutive Synth,MAR17,,,,,-12.6,0,,-12.6,,
market/Settlements/1_2_2017_ags_settlements.txt,KC7 KC HRW Calendar Spread Options - Consecutive Synth,MAY17,,,,,-12.2,+.2,,-12.0,,
market/Settlements/1_2_2017_ags_settlements.txt,KC7 KC HRW Calendar Spread Options - Consecutive Synth,JLY17,,,,,-14.2,-.2,,-14.4,,
market/Settlements/1_2_2017_ags_settlements.txt,KC7 KC HRW Calendar Spread Options - Consecutive Synth,SEP17,,,,,-21.0,-.2,,-21.2,,
market/Settlements/1_2_2017_ags_settlements.txt,KEF Kansas City Wheat Futures,MAR17,429.4,441.6,425.0,440.0,440.4,+11.0,20507,429.4,23264,91288
market/Settlements/1_2_2017_ags_settlements.txt,KEF Kansas City Wheat Futures,MAY17,442.0,454.4,437.4,453.2,453.2,+11.0,5409,442.2,9875,46516
market/Settlements/1_2_2017_ags_settlements.txt,KEF Kansas City Wheat Futures,JLY17,454.4,466.4,450.0,465.6,465.4,+11.2,7253,454.2,8013,66441
market/Settlements/1_2_2017_ags_settlements.txt,KEF Kansas City Wheat Futures,SEP17,468.2,480.6,464.4,480.4,479.6,+11.0,346,468.6,1424,9001
market/Settlements/1_2_2017_ags_settlements.txt,KET Kansas City Wheat TAS Futures,MAR17,.0,.2,.0,.2,.0,0,839,.0,,
market/Settlements/1_2_2017_ags_settlements.txt,KET Kansas City Wheat TAS Futures,MAY17,-.2,.2,-.2,.2,.0,0,397,.0,,
market/Settlements/1_2_2017_ags_settlements.txt,KET Kansas City Wheat TAS Futures,JLY17,.0,.2,.0,.2,.0,0,23,.0,,
market/Settlements/1_2_2017_ags_settlements.txt,KLI BMD-KUALA LUMPAR INDEX FUTURE,FEB17,,,,,,0,,1670.00,,
market/Settlements/1_2_2017_ags_settlements.txt,KLI BMD-KUALA LUMPAR INDEX FUTURE,MAR17,,,,,,0,,1669.50,,
market/Settlements/1_2_2017_ags_settlements.txt,KLI BMD-KUALA LUMPAR INDEX FUTURE,JUN17,,,,,,0,,1659.50,,
market/Settlements/1_2_2017_ags_settlements.txt,KNS KC HRW Calendar Spread Options - July/July Synthet,JLY17,,,,,-56.6,-2.4,,-59.2,,
market/Settlements/1_2_2017_ags_settlements.txt,KZS KC HRW Calendar Spread Options - Dec/Dec Synthetic,DEC17,,,,,-44.6,-3.4,,-48.2,,
market/Settlements/1_2_2017_ags_settlements.txt,LB CME LUMBER FUTURES,MAR17,332.00,340.00,332.00,340.00,337.90,+7.90,813,330.00,643,2962
market/Settlements/1_2_2017_ags_settlements.txt,LB CME LUMBER FUTURES,MAY17,342.90,349.40,342.90,349.40,347.00,+7.60,338,339.40,218,823
market/Settlements/1_2_2017_ags_settlements.txt,LB CME LUMBER FUTURES,JLY17,348.80,357.40,348.80,357.40,353.30,+5.90,46,347.40,14,74
market/Settlements/1_2_2017_ags_settlements.txt,LB CME LUMBER FUTURES,SEP17,352.90,358.00,352.90,358.00,356.40,+4.40,21,352.00,3,35
market/Settlements/1_2_2017_ags_settlements.txt,LC CME LIVE CATTLE FUTURES,FEB17,115.400,116.400,114.650,115.700,115.575,-.025,13629,115.600,8413,37118
market/Settlements/1_2_2017_ags_settlements.txt,LC CME LIVE CATTLE FUTURES,APR17,113.825,114.850,112.750,113.900,113.700,-.475,29653,114.175,20770,148851
market/Settlements/1_2_2017_ags_settlements.txt,LC CME LIVE CATTLE FUTURES,JUN17,103.950,104.675,103.400,104.375,104.225,+.025,12856,104.200,9083,84945
market/Settlements/1_2_2017_ags_settlements.txt,LC CME LIVE CATTLE FUTURES,AUG17,99.650,100.375,99.400,100.350,100.225,+.250,8053,99.975,4102,41864
market/Settlements/1_2_2017_ags_settlements.txt,LET LIVE CATTLE TAS Futures,APR17,.000,.025,.000,.025,.000,0,167,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,LET LIVE CATTLE TAS Futures,JUN17,.000,.000,-.025,.000,.000,0,170,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,LH CME LEAN HOG FUTURES,FEB17,69.500,70.000,68.925,69.525,69.425,+.350,9316,69.075,9984,22754
market/Settlements/1_2_2017_ags_settlements.txt,LH CME LEAN HOG FUTURES,APR17,69.525,69.975,68.225,69.025,69.100,-.150,16216,69.250,17535,94963
market/Settlements/1_2_2017_ags_settlements.txt,LH CME LEAN HOG FUTURES,MAY17,74.175,74.175,73.000,73.700,73.675,-.300,170,73.975,74,1707
market/Settlements/1_2_2017_ags_settlements.txt,LH CME LEAN HOG FUTURES,JUN17,77.750,78.100,76.775,77.700,77.675,+.075,5604,77.600,9161,46570
market/Settlements/1_2_2017_ags_settlements.txt,MCX MGEX-CBOT Wheat Spread Synthetic Future,JLY17,,,,,97.6,-6.0,,103.6,,
market/Settlements/1_2_2017_ags_settlements.txt,MCX MGEX-CBOT Wheat Spread Synthetic Future,SEP17,,,,,101.2,-6.0,,107.2,,
market/Settlements/1_2_2017_ags_settlements.txt,MCX MGEX-CBOT Wheat Spread Synthetic Future,DEC17,,,,,76.6,-4.4,,81.2,,
market/Settlements/1_2_2017_ags_settlements.txt,MG3 3YR MAL GOV SEC FUT,MAR17,,,,,,0,,106.84,,
market/Settlements/1_2_2017_ags_settlements.txt,MG3 3YR MAL GOV SEC FUT,JUN17,,,,,,0,,106.84,,
market/Settlements/1_2_2017_ags_settlements.txt,MG3 3YR MAL GOV SEC FUT,SEP17,,,,,,0,,106.14,,
market/Settlements/1_2_2017_ags_settlements.txt,MG3 3YR MAL GOV SEC FUT,DEC17,,,,,,0,,105.64,,
market/Settlements/1_2_2017_ags_settlements.txt,MG5 5YR MAL GOV SEC FUT,MAR17,,,,,,0,,110.08,,
market/Settlements/1_2_2017_ags_settlements.txt,MG5 5YR MAL GOV SEC FUT,JUN17,,,,,,0,,110.08,,
market/Settlements/1_2_2017_ags_settlements.txt,MG5 5YR MAL GOV SEC FUT,SEP17,,,,,,0,,109.46,,
market/Settlements/1_2_2017_ags_settlements.txt,MG5 5YR MAL GOV SEC FUT,DEC17,,,,,,0,,108.93,,
market/Settlements/1_2_2017_ags_settlements.txt,MGA BMD FMGA 10 Year Malaysian Gov't future,MAR17,,,,,,0,,113.74,,
market/Settlements/1_2_2017_ags_settlements.txt,MGA BMD FMGA 10 Year Malaysian Gov't future,JUN17,,,,,,0,,113.74,,
market/Settlements/1_2_2017_ags_settlements.txt,MGA BMD FMGA 10 Year Malaysian Gov't future,SEP17,,,,,,0,,113.12,,
market/Settlements/1_2_2017_ags_settlements.txt,MGA BMD FMGA 10 Year Malaysian Gov't future,DEC17,,,,,,0,,112.65,,
market/Settlements/1_2_2017_ags_settlements.txt,MKC Mini-Sized KC HRW Wheat Futures,MAR17,,,,,440.4,+11.0,,429.4,,
market/Settlements/1_2_2017_ags_settlements.txt,MKC Mini-Sized KC HRW Wheat Futures,MAY17,,,,,453.2,+11.0,,442.2,,
market/Settlements/1_2_2017_ags_settlements.txt,MKC Mini-Sized KC HRW Wheat Futures,JLY17,,,,,465.4,+11.2,,454.2,,
market/Settlements/1_2_2017_ags_settlements.txt,MKC Mini-Sized KC HRW Wheat Futures,SEP17,,,,,479.6,+11.0,,468.6,,
market/Settlements/1_2_2017_ags_settlements.txt,MWE Minneapolis Hard Red Spring Wheat Futures,MAR17,549.4,557.6,547.0,557.0,555.6,+7.2,3031,548.4,4216,28287
market/Settlements/1_2_2017_ags_settlements.txt,MWE Minneapolis Hard Red Spring Wheat Futures,MAY17,547.4,554.6,546.0,554.4,554.0,+6.4,3029,547.4,3036,26235
market/Settlements/1_2_2017_ags_settlements.txt,MWE Minneapolis Hard Red Spring Wheat Futures,JLY17,550.0,559.2,550.0,557.0,557.4,+6.4,1316,551.0,1392,14410
market/Settlements/1_2_2017_ags_settlements.txt,MWE Minneapolis Hard Red Spring Wheat Futures,SEP17,553.4,562.0,553.4,560.4,561.0,+6.4,451,554.4,764,6177
market/Settlements/1_2_2017_ags_settlements.txt,NF CME NON-FAT DRY MILK FUTURES,JAN17,,,,,102.290,0,,102.100,,892
market/Settlements/1_2_2017_ags_settlements.txt,NF CME NON-FAT DRY MILK FUTURES,FEB17,100.650,101.700,100.650,101.425,101.575,+.575,7,101.000,28,905
market/Settlements/1_2_2017_ags_settlements.txt,NF CME NON-FAT DRY MILK FUTURES,MAR17,100.400,101.500,100.400,100.800,101.175,+.800,54,100.375,6,976
market/Settlements/1_2_2017_ags_settlements.txt,NF CME NON-FAT DRY MILK FUTURES,APR17,102.325,103.175,102.000,102.550,103.000,+1.000,56,102.000,,755
market/Settlements/1_2_2017_ags_settlements.txt,O Oats Futures,MAR17,245.4,253.2,245.0,250.2,250.6,+6.4,533,244.2,445,4502
market/Settlements/1_2_2017_ags_settlements.txt,O Oats Futures,MAY17,243.2,247.0,241.2,245.2,246.0,+7.2,286,238.6,287,2457
market/Settlements/1_2_2017_ags_settlements.txt,O Oats Futures,JLY17,238.4,239.0,238.4,239.0,242.6,+6.6,1,236.0,6,437
market/Settlements/1_2_2017_ags_settlements.txt,O Oats Futures,SEP17,,240.0,,240.0,241.6,+8.4,,233.2,,8
market/Settlements/1_2_2017_ags_settlements.txt,OPF USD Malaysian Palm Olein Calendar Futures,FEB17,,,,,730.00,0,,730.00,,
market/Settlements/1_2_2017_ags_settlements.txt,OPF USD Malaysian Palm Olein Calendar Futures,MAR17,,,,,703.75,0,,703.75,,
